Substances,,occupation/transformation,,amount-notused,unit-notused,,amount,unit
Raw,(unspecified),"Occupation, annual crop, RS",,5.59144145,m2a,,5.59E-16,m2a
Raw,(unspecified),"Occupation, annual crop, RU",,1.19408878,m2a,,1.19E-16,m2a
Raw,(unspecified),"Occupation, annual crop, RW",,9.80931284,m2a,,9.81E-15,m2a
Raw,(unspecified),"Occupation, annual crop, SA",,1.53501219,m2a,,1.54E-16,m2a
Raw,(unspecified),"Occupation, annual crop, SB",,5.96997290,m2a,,5.97E-14,m2a
Raw,(unspecified),"Occupation, annual crop, SC",,5.26485746,m2a,,5.26486E-13,m2a
Raw,(unspecified),"Occupation, annual crop, SD",,2.60217268,m2a,,2.60E-16,m2a
Raw,(unspecified),"Occupation, annual crop, SE",,7.57671099,m2a,,7.58E-17,m2a
Raw,(unspecified),"Occupation, annual crop, SG",,1.37929870,m2a,,1.38E-14,m2a
Raw,(unspecified),"Occupation, annual crop, SH",,1.04778794,m2a,,1.04779E-12,m2a
Raw,(unspecified),"Occupation, annual crop, SI",,1.58243037,m2a,,1.58E-15,m2a
Raw,(unspecified),"Occupation, annual crop, SJ",,1.77106155,m2a,,1.77E-17,m2a
Raw,(unspecified),"Occupation, annual crop, SK",,7.03165885,m2a,,7.03E-16,m2a
Raw,(unspecified),"Occupation, annual crop, SL",,4.41359564,m2a,,4.41E-15,m2a
Raw,(unspecified),"Occupation, annual crop, SM",,4.13659120,m2a,,4.14E-15,m2a
Raw,(unspecified),"Occupation, annual crop, SN",,4.22291646,m2a,,4.22E-16,m2a
Raw,(unspecified),"Occupation, annual crop, SO",,1.07170287,m2a,,1.07E-15,m2a
Raw,(unspecified),"Occupation, annual crop, SR",,2.78901098,m2a,,2.79E-15,m2a
Raw,(unspecified),"Occupation, annual crop, SS",,2.60217268,m2a,,2.60E-16,m2a
Raw,(unspecified),"Occupation, annual crop, ST",,2.14250517,m2a,,2.14E-12,m2a
Raw,(unspecified),"Occupation, annual crop, SV",,1.61557497,m2a,,1.62E-14,m2a
Raw,(unspecified),"Occupation, annual crop, SY",,1.40548420,m2a,,1.41E-15,m2a
Raw,(unspecified),"Occupation, annual crop, SZ",,3.41216682,m2a,,3.41E-15,m2a
Raw,(unspecified),"Occupation, annual crop, TC",,3.42130976,m2a,,3.42E-14,m2a
Raw,(unspecified),"Occupation, annual crop, TD",,1.65944531,m2a,,1.66E-16,m2a
Raw,(unspecified),"Occupation, annual crop, TF",,5.76133413,m2a,,5.76133E-16,m2a
Raw,(unspecified),"Occupation, annual crop, TG",,1.05843567,m2a,,1.06E-15,m2a
Raw,(unspecified),"Occupation, annual crop, TH",,3.75143931,m2a,,3.75E-15,m2a
Raw,(unspecified),"Occupation, annual crop, TJ",,8.51853654,m2a,,8.52E-16,m2a
Raw,(unspecified),"Occupation, annual crop, TK",,2.48999165,m2a,,2.49E-15,m2a
Raw,(unspecified),"Occupation, annual crop, TL",,2.48999165,m2a,,2.49E-15,m2a
Raw,(unspecified),"Occupation, annual crop, TM",,3.80363255,m2a,,3.80E-16,m2a
Raw,(unspecified),"Occupation, annual crop, TN",,6.71192118,m2a,,6.71E-16,m2a
Raw,(unspecified),"Occupation, annual crop, TO",,5.24454923,m2a,,5.24E-13,m2a
Raw,(unspecified),"Occupation, annual crop, TR",,2.78875417,m2a,,2.79E-15,m2a
Raw,(unspecified),"Occupation, annual crop, TT",,1.97390085,m2a,,1.97E-13,m2a
Raw,(unspecified),"Occupation, annual crop, TV",,8.04900251,m2a,,8.049E-13,m2a
Raw,(unspecified),"Occupation, annual crop, TW",,6.28984189,m2a,,6.29E-14,m2a
Raw,(unspecified),"Occupation, annual crop, TZ",,3.37444288,m2a,,3.37E-15,m2a
Raw,(unspecified),"Occupation, annual crop, UA",,3.26672530,m2a,,3.27E-16,m2a
